text,label
" bu nedir yaa çok sıkıldım filmde bu kadar berbat bir film beklemezdim . Ghost rider ve s.m hayal kırıklıgı oldu bu sene . Valla karayipi dört gözle bekliyorum . Çok yapmacık bir filmdi , diyaloglarr inandırıcı değil sacma sapan bir film yapmıs sam raimi bir arkadas demişti keske james cameron cekseydi keske o cekseydi bu kadar kötü bir film yapmayacagından emin olabilirdik hiç olmazsa. ",Negative
" Ne yazık ki bugün yorumları okumadan izleme gafletinde bulundum,Çanakkale Savaşı'nı bu kadar hafife alan , bu kadar basiretsiz, ucuz bir film izlemedim ;yazıklar olsun sinan çetine onun gibi değersiz ,şuursuz insanlar bu ülkede yaşamayı hak etmiyor bence ,şehit anaları duyun sinan çetin size yol göstersin;çocuklarınız boşuna şehit olmuş ;Atatürk izleseydi kahrından ölürdü ;sinan çetin bitmiştir ,defolsun karısının ülkesine gitsin bu ülkeyi sevmeyen biri demokrasi ,özgürlük vb adına bu ülkede yaşamasın lanet olsun sana ;bu filme emeği geçen herkesi kınıyorum Türk sinema tarihinin yüz karası ;seyirciyi bu kadar salak yerine koyan ,hiçbir ayrıntıya dikkat etmeyen sinan çetin !Cephede analarımız beyaz ötesi kıyafetleriyle makyajıyla salınarak cocuklarını cepheden almaya kalkmadılar ,vatan sağolsun dediler , acılarını yüreklerinde yaşadılar halen de yaşıyorlar ;senin haddine değil Çanakkale Savaşı'nı anlatmak yüzyılın şuursuzu sinan çetin...... ( bu filme oy vermek bile doğru değil ,hatta filmden saymak bile lütfen gidip sinan çetine para kazandırmayın ben yaptım siz yapmayın.)TÜM ZAMANLARIN EN KÖTÜ FİLMİ ",Negative
ürün enterasan çünkü baş kısmı alt kısmından ağır olduğu için ayakta durmakta zorlanıyor ama bu paraya daha iyi olmazdı sanırım. unutmadan ampülde koyaydınız iyiydi alalı bir hafta oldu bir haftadır ampul almayı unutuyorum :),Negative
 ilk defa bir yorum yazıyorum başka hayal kırıklıkları yaşanmasın diye. aslında ortada film felan yok bir ev beş kişi var üçü çocuk o kadar bence tamda türk sineması iyi yerlere gelecek başarılı yapımlar var derken bu film türk sinemasına ve izleyicisine hakarettir. hava soğuk ısınmak için bile gidelim demeyin saygılar... ,Negative
"tatil mi askerliğe dönüş koyun bu güzelliğine böyle kötü işletilen bir otel yazık gerçekten yemekler çok güzel diyen arkadaşları gerçekten anlamak imkansız zira en basit bir şey almak için dahi minimum  dakika kuyruk beklyorsunuz hele bir gün Türk günü diye garip bir şey yaptılar aman allahm  kızartma ciğer ve tantuni için tam  er dakika kuyruk bekledik ama aldıklarımızın tadına bakınca bir lokma daha yiyemedik  tantuninin içinde ya sıvı sabun ya da şampuan gibi garip bir sıvı vardı ciğerler de hakeza ya hiç pişmemişti ya da kurumuş kaskatı olmuştu salatalar da berbat çoğu pörsümüş bir kaç gündür çıkartılan sebzelerden oluşan salça yapılama durumuna gelmiş sebze atıklarıı gibiydi   tatlılar da felaketti   bir de çalışanların panik halinde ortalığı toparlama kaosu da bu yemeklerın rezaltine eklenınce inanın askerdeki yemekleri ve duzenlı yemek saatlerini arayacak durumda hıssettım kendımı yemek salonunda korkunç bir gürültü ve tam bir kaos hakim çalışanlar ise sanki zorla çalışıyor gibi aşırı yorgun ve mutsuzdular araç parkı da sorun aracımı park edecek yer bulamadım mecburen resepsıoynun yanına park ettim ve anahtarımı resepsıoyna bıraktım;   saat arabanın anahtarına ulaşılamadı arabayı da göremedim  ""artık jandarmayı arayacağım lutfen bulun aracımın anahtarını"" dedikten  dakika sorna anahtar geldi resepsiyona gece   da çay var mıdır diye sordum benı bır yere yönlendırdı karanlık kımse olmayan bi yer gerçekten çalışanların durumu feci  hepsinin terapiye ihtıyacı vardı çok bariz ayrıca yolu da felaket artık ona yol denirse ve de marmarise baya uzak  sahilde veya havuz kenarında da şezlong falan bulmak da imkansız bizim gibi bir hata yapıp da u oteel hala gelme hatasnı yaparsanız havlunuzu   tane pet şişe suyunuzu falan kendiniz getirin havlu olayı da garip fitness merkezi dedikleri yer de garip  özetle  yıldızlı bir koyda kurulmus tek yıldızı dahi haketmeyen askerliği anımsatan bir işletme",Negative
elinde olmayıpta yorum yapan kerhane çocuğu,Negative
telefonu alıp iade etmek zorunda kaldım. eksi yönleri: ürünü diğer telefonlarla kıyasladım telefonun sinyal gücü çok düşük  bu yüzden iade ettim bulunduğum yerde sinyal yakalayamıyor. ,Negative
 ya şimdi doublex ev porshe araba eleman hep evde bu ne??imbd bu film 7 - 8 arası puan almış yani bu avrupalılar bu kadar gerizekalımı bu ne yaabu şeytan mıdır ruhmudur hiç fakirlere uğramazmı fakiri bırak ortadirek bi aileye uğrasın yasaçmalık ötesi film. yani ben filmin neresinde korkacağımı anlamadım taklit yapacaktım korkıyım dıe ama korkulacak bısey yokki !!! ,Negative
"bende aldim bu boya maki̇nasindan ama di̇ğer yorum arkadaşlar gi̇bi̇ bende memnun kalmadim. çok ses yapiyor, hortum sürekli̇ çikiyor bu yüzden basinç kaybi çok yüksek. fi̇ş uzunluğu çok kisa. boya kivaminida i̇yi̇ tutturmak gereki̇yor. bendede çok toz yapti. hi̇ç memnun deği̇li̇m.",Negative
ürün kullanışlı fakat sağlam değil aldığımın 2. haftasında üstteki dikiş kısımları yırtıldı fakat hepsiburadanın müşteri memnuniyeti o kadar iyiki ürünü 1 ay geçmesine rağmen ücret iadesi yaptılar. yani aldığınız ürün sağlam çıkarsa gerçektende şanslısınız fakat sağlam çıkmazsada şanslısınız...,Negative
 Hala midemi bulandıran bir film bunu söylemeden geçemeyeceğim. Filmin ilk bölümünde erotik sahneler ön planda -ki buralarda seyircilerin bir kısmı salonu terketti- ikinci bölümü ise tamamen vahşet içeriyor -diğer yarısıda burada terketti salonu-. Herhangi bir konusu olmayan sadece şiddet içeren mide bulandırıcı bir film. Kesinlikle tavsiye etmiyorummm. Boşa geçen bir zaman istiyorsanız ve bol bol midenizin bulanmasını istiyorsanız tavsiye ediyorum.. Bu arada korku filmi olarak sınıflandırmışlar kesinlikle alakası yok Vahşet diye bir sınıflandırma yapmaları lazım aslına bakarsanız. ,Negative
 Bence saçma ötesi bir filmdi..Çok abartı kurgular vardı..Film boyunca ne olduğunu anlayamıyorsunuz...Sanki şeytan çıkartma diye bir meslek varmış gibi lanse edilmiş filmde..(bakınız ilk sahne)Kötü bir şeytan filmi taklidi olmuş!! ,Negative
ürün kaliteli. ancak özelliklerinde söylendiği gibi elektrik kesildiğinde otomatik olarak yanmıyor. elfeneri olarak kullanıyorum.,Negative
açık seçik kıyafetler giyen kadın resmen gel bana tecavüz et diyor,Negative
 Görüntü ve oyunculuk olarak D@bbe'den daha iyi ama korku filmi olarak D@bbe'nin yüzde biri kadar bile korkutamayan bir film.Tavsiye etmiyorum. ,Negative
paramı gaspettiler      tarihli rezarvasyon yaptırdım isimim semih alanyaya yola cıktım pazar gunu otelın onüne geldım (alanya) nita tur baş belası aradı semih bey otel yetkilisi yanlış bakmış sizi hedef klopatraya alaım dediler dedim özellikler aynı evet tamam ancak özellikler aynıysa kalırım dedim gittigimde resepsiyonda klimalar çalışmıyor arabayı şuraya çek oda içler acısı klima çalışıyor mu kontrol televızyon düşa kabinin kapıları kırık oda kpıları yarısı var yarısı yok banyoda sabun şanpuan havlu kesınlıkle yok su yok balkon kapısını aşmak kapamak için çilingir olmak lazım yetkılı yok umrunda degıl kımsenın  otele çıktım  da yarıldım nita turla görüştüm karım ve çocugum kafayı kıracaktık nefes alamadık otelde paramı resmen hedef oteller zinciri çaldı inşallah batarlar sürünürler benim alın terimi çaldılar kendı çalışanı hata yapıyor fatura bızım gibi vatandaşa kesiliyor başka bir otele gıttım ınanın süper tatıl geçirdik çalışanları otel mdr ve geln turiste kalıtelı tatıl yapacaksanız bu otel herzaman süper seneye yıne obaköyde yim,Negative
" İlk filmine gitmedim, arkadaşımdan aldığım cdsiyle evde seyrettim. İlk filminin Türkiyede en çok gidilen ve seyredilen film olmasına ne kadar şaşırdım, ne kadar üzüldüm anlatamam. Aslında üzülmeye üzüldüm de şaşırmamak lazım. Çoğu kişi bir süre içindeki Recep İvedikle dolaştı, onun taklitlerini yaptı konuşmalarında, hareketlerinde... Çok şükür ki fazla uzun sürmedi bu süreç. Şimdi ikincisi geliyormuş. 2009da Allah yardımcımız olsun ne diyeyim. ",Negative
 7 puanı hak etmeyn zoraki yapılabilmiş bir film sadece ,Negative
hayal kırıklığına uğradımgenellikle insanlar tatile huzur bulmaya giderler fakat sürmeli efes de bu pek mümkün değil geceleyin  buçukta bir görevli kapınızı çalarak yastık yorgan getirebilir siz istemediğiniz takdirde mantığını bende anlayamadım güvenlik sorunları ise tartışılmaz aile odalarının girişinde güvenlik kamerası bulunmamakta ve ayrıca oda anahtarları da isim dahi sorulmadan oda numarası söylendiğinde direk verilmekte doğru otellerde kapılar açılabilir isim sorulmayabilir fakat olası tehlikeli bir durumda ispat sağlamak adına güvenlik kamerası bulundurulması gerekmez mi hırsızlık ve mal kaybını geçtim odada bize daro edilse dahi odaya kimin girdiğini belli edecek bir kamera yok  kasa kiralamamız söylendi fakat kasalar ücretli ve talebe bağlı idi kaldığım diğer  yıldızlı otellerde de aynı prosedür geçerli olmasına karşın güvenlik kamerası var ve kasalar da ücretsizdi bu yaşananlar beni çok rahatsız etti ve huzurlu bir tatil geçiremedim tavsiye etmiorm karar sizin,Negative
"urun guzel durusu guzel ama motorundan rahatsiz esuci bir vinn sesi ve
calisirken asiri titreme var.  demonte etmeye usenmesem iade eder ve
baska marka alirdim.",Negative
berbatkesinlikle berbat su anda yoldayim ve gerilmiş olarak yolculuk yapiyoruz oglum ve esimlepersonel ilgisiz ve umursamaz tavrı ulkemizde ikinci sinif muamele ne ararsaniz var yok yok hersey dahil cesit bol ne ararsaniz var yemekler hep ayni sok gidalar tavuk hindi yemekten gina geldi temizlik hic yok havuzlar pis ve sahili bakimsiz denize giremeden donuyorum en kotusu ulkemde yabancilara gosterilen ilgi alakanin biz turklere uygulanmamasi rezillik diz boyu stres atmak deyilde strese girmek istiyorsaniz gidebilirsiniz kesinlikle berbatti,Negative
çok para kotu bi tatilotel kesinlikle  yıldızı haketmiyor nasıl verdiler anlamadım yemekler kesinlikle çok kötü çevresindek otellerle aynı para ucuz degıl ama hizmet yok çalışan yok sadece oda temizligi güzel dogası güzel sakın gitmiyeni arstırıp gıdın,Negative
" zayıf, içi boş bi filmdi.tüm film boyunca daha heyecan verici,sizi saracak birşeyler bekliyorsunuz ama yok.. ",Negative
Bu kadin kesinlikle psikoz veya sizofren Ben dinledikce dellendim ,Negative
" Konu olarak güzel bir filme benziyordu başlarda ama filmin anlatımı çok berbattı.Kafa karıştırmaktan başka hiçbişey yapmadılar.5 arkadaş izledik bu filmi izledikten sonra allak bullak oldu kafamız.Bunu izleyeceğinize johny deep’in Cehennemden Gelen filmini izleyin derim,bu film onun yanında benim gözümde bir hiç ",Negative
" berbat, sıkıcı, insana hafakanlar geçirten ve harcanan o kadar emeğe, paraya yazık edilmiş olan bir film.bunları yazmak istemiyordum ama bazı arkadaşların 'müthiş filmdi' vs yorumlarını okuyunca, 'ben başka bir film mi seyrettim acaba?' diye düşünmeden edemedim.bizim sinemacılarımızın en büyük eksiği, yabancı filmleri seyredip, sonra 'biz de böyle film çekelim' diye harekete geçmelerinden kaynaklanıyor.sinemacılarımız ve bu filme 'iyi' diyen arkadaşlarımız iran ve yeni yapılan çin filmlerini izlesinler, sonra bu film için 'müthişti' desinler. ",Negative
"3. çekirdek öğütme ayarı neredeyse göstermelik; en koyu kahve tercihiyle en hafif tercih arasında hani 3-4 çekirdek tanesi fark filan vardır en fazla. dolayısıyla iki kişilik yapacaksanız sırayla yapmanızı tavsiye ediyorum,",Negative
 Bu filme güzel diyenin alnını karışlarım ben güzel olan nedir hadi yapılma tarihine göre efektler süper kurtarıyormu bu filmi başında sonuna kadar sıkıcı müzikleride insanın sinirini bozuyor konusu bişeyi yok boşuna vaktimi kaybettim ,Negative
ürünü 1 yıldır kullanıyoruz. hortumu plastik aksamı kısa sürede kullanılamaz hale geldi. eski supurgemizin metal sapini kullanıyoruz. hortumu yeniden aldık. özetle tavsiye etmiyoruz. daha fazla bütçeyle kaliteli uruleri tercih etmek gerekiyor.,Negative
 Hiç beğenmedim.Hele robotların birbirine girdiği sahnede kim kiminle savaşıyor onu bile anlamadım.Çizgi filmini bu filme tercih ederim. ,Negative
Canı sağ olaun da ölsün ,Negative
kötüilk olarak çalışanlar ve personeller çok güler yüzlü saygılı insanlar odalar gayet temiz fakat ek bina durumu biraz bozuyor yol geçiyor sonuçta onun için ek binaya bağlanan bir köprü yapılabilir hem çok daha etkileyici hemde kullanışlı olur yemekleri berbat yediğin tavuktan yediğin köfteden hiç bir lezzet alamıyorsun bir tek meyveleri taze ve tahinli poğaçaları yemekler ruslara göre yapılmış biz pilavdan başka bir şey yiyemedik ruslar saygısız pis insan görünümde hayvalardı tatilimizi zehir ettiler arkadan ittiren mi dersin wc den çıkınca ellerini yıkamayan mı  Türkiyeye gelmeden önce bir terbiye kontrolünden geçmeli çalışanları da bıktırmış pislikler ben gitmeyin derim otelinizi ayarlamadan önce oteli arayın rus ve Türk sayısını sorun ona göre karar verin biliyorum bu yorumum yayınlanmayacak ama en azından ilgili kişi okusun görsün  resepsiyondaki çekik gözlü kız çook çalışkan çok tatlı bir bayan ve akşamları teras barda çalışan genç kardeşim çooook yakışıklı sırf onu görmek için kola almaya gittm,Negative
 hayatımda izlediğim en kötü filmdi diyebilirim. Tamamen cinsellik ve iğrençlikle bırseyler yapmaya çalısmıslar ama cok kötü olmus.Kesınlıkle gıtmeyın paranıza da zamanınızada yasık olur ,Negative
kumaş kalitesi ince ve kötü. desensiz kısımları ise daha ince ve kullanışsız.,Negative
hiç güzel değil pubgyi bile zorla kaldırıyor,Negative
berbatbiz annem ve ablam uç kisi bu otele yorumlara aldanacak gittik ve bir ay onceden paramizi banka havalesiyle yolladım ama yorumlara aldanmayın çok büyük ihtimalle yorumları personel ve sahipleri yazıyor çünkü soylenenlerle hiçbir alakası yok öyle gürültümü bı otel ki havuzda kimse yok ama müzik son ses milislere cocuk mistisizmden odalar çok eşlik banyolar tarih ve pis kim bu otele bes yıldız vermiş bilmiyom ama sanırım ilk otele gidişleri yemekleri yemek imkansız turk mutfağı bu kadarmış rezil sunulur personel yok herseyi kendiniz yapıyorsunuz pansiyonlar bile daha iyi bisey istiyorsunuz otel sahibi personel yok ben siz bu hizmeti yapacağımı taahut etmedimki diyor girişte tüm parayı oduyorsunuz yoksa anahtar yok aldanmayın biz uç gece zor dayandık girmek istedik paramizi vermek istemediler verdiler ama birsiru hakaretler tatil değil kotu anilarla donduk sakın aldanmayın otel bomboş birde bize dolu dediler çoluk cocuk gürültü ve rezillik,Negative
hızlı kargo gayet iyi teslimat. ,Negative
" el kamerasıyla televizyona çakilen filmlerin kalitesinde. kadir inanırın oyunculuğu dışında vasatın altında bir film. bütün oyuncular çok kötü oynamış, senaryo yarım, yönetilememiş bir film. ",Negative
" 8,4 puanı görüp iyi bir film diye heveslendim fakat maalesef hüsran. İyi bir film değil (4/10) ",Negative
" Filmde akıp giden senaryo yok. durağan, sıkıcı bir şekilde ilerliyor film. açıkcası film ilk başladığında bile kötü bir film izlenimi veriyor. bunu anlamıştım. sıkıcı, merak uyandırmayan ilerleyişi ve konudaki saçmalıklara rağmen bu puan filme çok. gerçekten yavan bir film. dünyalar savaşı tadında bişi bekliyodum ama dünyalar savaşı gerçekten süper bir film ve bu film onun yanından bile geçemez hem konu-senaryo olarak hemde görsel öğeler olarak. 10 üzerinden 4 ",Negative
 Bunlarda sinema filmi olarak lanse ediliyor ya ona üzülüyorum.Saçma sapan bir senaryo kötü oyunculuklar anlamsız bir film işte 2/10 ,Negative
hem ses kalitesi hem de ergonomisi sorunlu,Negative
 Sedef Avcı ve Gürgen Öz çok güzel bir performans sergilemişler.Diğer herşey kötüHele Sinem Kobaldan bu kadar iğrendiğimi hatırlamıyorum.Selenada bile bundan iyi :)Filmin bazı sahneleride inanın ıssız adamın izlerini taşımaktadır.Dediğim gibi Gürgen öz ve Sedef avcı dışındaki herşey berbat...Film 10/4 ,Negative
 bence çok kötüydü...büyük bi hayal kırıklığı..bi kaç tane kaliteli espri dışında hiçbişey yoktu.sonu da çok anlamsızdı.küfür ederek film yapmak komedi midir Allah aşkına yaa???10 üzerinden 3 ancak... ,Negative
Sen insan olamazsın,Negative
çok düşük emme performansı,Negative
 Saw serisinin hasılat rekorları kırmasından bu tarz filmlerin gelmesi gayet normal.Konudan çok;daha farklı nasıl piskopatlıklar uretirizde gişe yaparız mantıgının hakim oldugu bir fıim bence ,Negative
Hızlı oyuncu bu sefer Nkoudu geldi aklıma bu da o mal gibi sadece koşar Ama gelecekse inşallah onyekuru gibi bizde tutar ,Negative
" bence film tam bir vakit kaybıdır. saklambaç,iskelet anahtar, hayvanlar mezarlığı farklı bir tarz olarak testere serisi gerilim filmidir.onun dışında bu tarz gerçeklikten ve inandırıcılıktan uzak amerikan gerilim filmleri hakkında olumlu yorum yapmayalım zira ben bir kaç olumlu yorumdan dolayı bu filme gittim ama artık akıllandım bir daha iyice analiz etmeden bir gerilim filmine gitmem ",Negative
civalı kadar hassas deıl ama hıc yoktan iş gorur,Negative
"Olumsuz yönleri: 109 liraya satılan sinbo markası daha iyi bu üründen. Yeterince iyi sıkmıyor, meyvelerin yarısından çoğu israf oluyor. Potası su oluyor.",Negative
 amerikanın oraya buraya saldır sonra kahraman ol politikasından rant alan bu filmler olmasa dahamı güzel olurdu hollywood ne??? bi de savaş tanrısı filmindeki başarısını kutlamaya cage in yanına federaller falanmı geldi yoksa ki bu filmde yer aldı anlamak güç hani;)) ,Negative
 saçmalık ötesi bir film.. dram mı komedi mi olacağına bir türlü karar verilememiş arabesk tadında-gerçi arabesk bilerek öyle çekilmişti- aptalca bir film.. filmin sonunda sanki battı balık yan gider hesabı iyice saçmalanmış.. şener şen'den cidden soğudum nasıl böyle bir filmde oynadı hala anlamış değilim.. ,Negative
 dikkat ettiğim ilk şey ses getiren bir romanın sinemaya uyarlanan filmin yönetmeni ve başrol oyuncularının ilk sinema deneyimi olduğu(en azından benim bildiğim kadarıyla) bu da filmin ne kadar ticari amaçla çekildiğini gösterir...kitabı da beğenmemiştim...edebi yönü olmayan bi kitaptı...film de doğal olarak sanatsal yönü yoktu.. zaten yapımcıların böyle bi kaygısı da olmamış... sanatsal yönü olmayıp da beğendiğim bi sürü film var...ancak farklı olduğunu sergilerse beğenirim... filmi lolitayla karşılaştırırsak bi defa ikisinde de cinsellik ön planda ama lol'un romana aktarılışı ve s. kubrick tarafından sinemaya uyarlanışı o kadar ustaca ki...bu sanki sıradan internet sitelerinin herhangi birinde herhangi birinin fantezilerini herhangi bir şekilde anlatması gibiydi... çevrenizde böyle tipler yok mu var elbette ancak bu kızcağız cesaret edip (iki de bir cesareti vurgulaması boşuna değildi heralde) yediği haltları piyasaya sürebilmiş... kitabı gibi ucuz bi film... ,Negative
ben gitmedim degistirdim hemenotel hakkındaki bunca olumsuz yorumdan sonra tatil sigortasi yaptirdigim icin hemen iptal ettirip baska bir otelde gecirdim tatilimi size de tavsiye ederim birseyler duzelmedikce tur sirketleri hala neden tatil alternatifi olarak bu oteli sunarlar anlayamıyorum dogrusu,Negative
netfilizde elvis belgeseli izleyip götveren oldum ,Negative
"bir hafta önce  sipariş verdim,bugün elime geçti,ulaşım daha  hızlı olmalı.kokusu  ilk başta ağır olsada fena  sayılmazz,zaman geçtikçe  daha güzel kokan bir  parfüm",Negative
 Bence film güzeldi wolf creek filmine benzer yanları vardı ama yinede konusu özgündü.Yalnız filmi biraz uzatmışlar o kadar. ,Negative
şerefsizlergrupfoni den almiştik tatilli  onlarda dolandiriciymiş  biz gereken yerlere şikayetimizi yaptik zaten  otellin pisliği daha sokağa girmeden görünüyor  otel de  yildiz olarak söleniyor fakat otel de yildiz falan hiçbirşey yok  otellin çalişanlari bile bizi zorla tutuyorlar diolar  eğer okuduysaniz sakin bir daha gitmeyin  merak etmeyin biz zaten son derece ağir sikayetler ediyoruz zaten biz  kişilik bir ekip olarak bu olayin peşini birakmiyacaz yetkillere duyrulur,Negative
 film izlemeye izleniyor sonuna kadar ama niyeyse bittiğinde de tatmin etmiyor.konusu da fena değil oysa ama oyunculuklar keyif vermiyor.jim carrey sanki her an mimik yapacakmış gibi geliyor ama yapmıyor.kadın oyuncu-adını bile bilmiyorum-hiç ama hiç olmamış.bu sürpriz son olayı kabak tadı verdi belki ondan memnun olamadım ya da türünün çok iyi örnekleri var film o yüzden çıtanın altında kalıyor.. ,Negative
 gördüm görecegiim en berbat en sıkıcı fılm dıyebılırım kımseye tavsıye etmem ozellıkle sevgılısı ıle bırlıkteyken hadi romantık fılm ızleyelım dıyıp ızlemeye kalkmayın yarıda kalır ,Negative
Yarrağım,Negative
Hayır. Ağ meşgul hatası verip dondu. Aldığım zaman kullanmamıştım,Negative
" 3 kelimeyle ; berbat, rezalet, zaman kaybı... ",Negative
olumsuz yorumların hepsi doğru.,Negative
berbat ve pisucuz ve deniz kenarı diye geldik odada buzdolabı yok tv var tek kanal çekiyor uydu yok kumanda yok yan odaların sesleri duyuluyor saç kurutma makinesi yok sıcak su bi var bi yok sık sık elektrik kesiliyor wc de kağıt yok havlu yok banyoda şampuan yok klimalar çok eski oda içindeki klimanın içi simsiyah kir yemekler nispeten güzel yapılmaya çalışılmış olsada acemi işi akşam çay kahve vs yok su paralı sahilde şezlong çok az otel çalışanları iyi niyetli ancak aile oteli olduğundan profesyonel değiller internet ücretsiz denizi çok temiz ancak taşlı tek avantajı fiyatı ve deniz kenarı olması turunç genel olarak çok güzel kalabalık tatil yerlerine göre sakin aranılan herşey var bankamatikler şok ve migros mevcut hiç bir yerde olmayan güzel bir çay bahçesi var turunça gelen tek yol var ve çok dolambaçlı aracın fren balatalarını yakmamak için çok uğraştık,Negative
" Bir film ancak bu kadar batırılır..Anlatılmak istenen konudan hiç bir şekilde seyirciye bahsedilmiyor,filmin sonuna kadar ne oluyo ne bitiyo anlamıyorsunuz..başıda ortasıda sonuda kötüydü..oyunculuk namına da bişey yok,belki biraz okan yalabık işte...kötüydü arkadaşlar 4/10... ",Negative
 izledim ama gerçekten çok sahte olmuş ne bilim sevmedim boks filmi çekmesinler artık :P yada sindirella man tadında olabilir oscar alması şaşırtıcı ,Negative
Asla ve asla gitmeyin!!!odalar dışında memnun kaldığımız hiçbir şey yok. . . Şimdiye kadar gittiğim oteller arasında en kötü yemek hazırlayan otel! tatil boyunca kahvaltı dışında otelde yemek yiyemedik! kahvaltıda ne olduğu belirsizdi. . . içeçek diye verdikleri meşrubatlar her şeye benziyordu ama benzemesi gereken içeçekle alakası yoktu. . . Bardaklar lekeki sanki yıkanmadan suda tutulmuş ve yeniden servis ediliyordu. . . Otelde plaj diye birşey yok herkes üst üste:((otel personeli sanki babasının hayrına çalışıyormus gibi ve dahada kötüsü sanki okuldaki çoçuğu azarlıyorlar gibi.,Negative
Siktir git önce Türk edebiyatının en önemli eserlerinden birini oku,Negative
uzun zaman kullandım.menüleri fena değil.dokunmatik ekranı biraz ağır çalışıyor.bu fiyata o kadar kusur olabilir.sınıfındaki telefonlara göre iyi seviyededir.kamera çözünürlüğü çok mükemmel.,Negative
cok eski bir model is gormez bosuna almayin.,Negative
plastik olması sağlamlık yönünden ürünü bitirmiş bi ucu şimdiden kırıldı tavsiye etmem,Negative
